exam_uuid,label,rag,question_id,question,question_uuid,student_name,profile,student_uuid,score,c1_score,c2_score,arbiter_score,divergence_detected,divergence_value,consensus_method,feedback
48304f9b-1754-4cbd-b973-4a39a51a20a2,Condição B (sem RAG),False,Q1,Diferencie uma `Array` (vetor estático) de uma `Lista Encade,85273a6e-19dd-436d-bc35-813fad28effa,Aluno 2 (Intermediário),Intermediário,9b6aabce-8b4d-49f4-908a-b0777cacb7c8,6.73,6.24,6.73,,False,0.5,mean_2,
48304f9b-1754-4cbd-b973-4a39a51a20a2,Condição B (sem RAG),False,Q1,Diferencie uma `Array` (vetor estático) de uma `Lista Encade,85273a6e-19dd-436d-bc35-813fad28effa,Aluno 3 (Fraco),Fraca,1577ae18-04c1-415c-ba1f-c1deda50b60a,0.0,0.51,0.0,,False,0.5,mean_2,
48304f9b-1754-4cbd-b973-4a39a51a20a2,Condição B (sem RAG),False,Q1,Diferencie uma `Array` (vetor estático) de uma `Lista Encade,85273a6e-19dd-436d-bc35-813fad28effa,Aluno 4 (Fora do Tema),Fora tema,9e493d13-3a78-4d28-ab35-254bd144dd5d,0.0,0.0,0.0,,False,0.0,mean_2,
48304f9b-1754-4cbd-b973-4a39a51a20a2,Condição B (sem RAG),False,Q1,Diferencie uma `Array` (vetor estático) de uma `Lista Encade,85273a6e-19dd-436d-bc35-813fad28effa,Aluno 1 (Excelente),Excelente,d83c77f6-37a2-46c9-8723-ba76bb44b5ac,10.0,10.0,10.0,,False,0.0,mean_2,
48304f9b-1754-4cbd-b973-4a39a51a20a2,Condição B (sem RAG),False,Q2,Compare os algoritmos de ordenação `Merge Sort` e `Quick Sor,94ee1fed-afe7-4c27-b350-c606bf83ea22,Aluno 1 (Excelente),Excelente,d83c77f6-37a2-46c9-8723-ba76bb44b5ac,10.0,10.0,10.0,,False,0.0,mean_2,
48304f9b-1754-4cbd-b973-4a39a51a20a2,Condição B (sem RAG),False,Q2,Compare os algoritmos de ordenação `Merge Sort` e `Quick Sor,94ee1fed-afe7-4c27-b350-c606bf83ea22,Aluno 2 (Intermediário),Intermediário,9b6aabce-8b4d-49f4-908a-b0777cacb7c8,8.88,8.88,8.88,,False,0.0,mean_2,
48304f9b-1754-4cbd-b973-4a39a51a20a2,Condição B (sem RAG),False,Q2,Compare os algoritmos de ordenação `Merge Sort` e `Quick Sor,94ee1fed-afe7-4c27-b350-c606bf83ea22,Aluno 3 (Fraco),Fraca,1577ae18-04c1-415c-ba1f-c1deda50b60a,1.63,2.55,1.63,,False,1.0,mean_2,
48304f9b-1754-4cbd-b973-4a39a51a20a2,Condição B (sem RAG),False,Q2,Compare os algoritmos de ordenação `Merge Sort` e `Quick Sor,94ee1fed-afe7-4c27-b350-c606bf83ea22,Aluno 4 (Fora do Tema),Fora tema,9e493d13-3a78-4d28-ab35-254bd144dd5d,0.0,0.0,0.0,,False,0.0,mean_2,
48304f9b-1754-4cbd-b973-4a39a51a20a2,Condição B (sem RAG),False,Q3,Descreva as propriedades que definem uma `Árvore Binária de ,ff30acaa-9d64-4849-bc2e-933f4faa43a8,Aluno 2 (Intermediário),Intermediário,9b6aabce-8b4d-49f4-908a-b0777cacb7c8,9.8,9.8,9.8,,False,0.0,mean_2,
48304f9b-1754-4cbd-b973-4a39a51a20a2,Condição B (sem RAG),False,Q3,Descreva as propriedades que definem uma `Árvore Binária de ,ff30acaa-9d64-4849-bc2e-933f4faa43a8,Aluno 3 (Fraco),Fraca,1577ae18-04c1-415c-ba1f-c1deda50b60a,1.22,0.0,1.22,,False,1.0,mean_2,
48304f9b-1754-4cbd-b973-4a39a51a20a2,Condição B (sem RAG),False,Q3,Descreva as propriedades que definem uma `Árvore Binária de ,ff30acaa-9d64-4849-bc2e-933f4faa43a8,Aluno 4 (Fora do Tema),Fora tema,9e493d13-3a78-4d28-ab35-254bd144dd5d,0.0,0.0,0.0,,False,0.0,mean_2,
48304f9b-1754-4cbd-b973-4a39a51a20a2,Condição B (sem RAG),False,Q3,Descreva as propriedades que definem uma `Árvore Binária de ,ff30acaa-9d64-4849-bc2e-933f4faa43a8,Aluno 1 (Excelente),Excelente,d83c77f6-37a2-46c9-8723-ba76bb44b5ac,10.0,10.0,10.0,,False,0.0,mean_2,
