exam_uuid,run_label,question_id,student_name,profile,student_uuid,score,c1_score,c2_score,divergence_detected,divergence_value,consensus_method,run
f38629ba-0463-4ace-9192-56b3edf30ddc,Run 1/3,Q2,Aluno 1 (Excelente),Excelente,d83c77f6-37a2-46c9-8723-ba76bb44b5ac,10.0,10.0,10.0,False,0.0,mean_2,1
f38629ba-0463-4ace-9192-56b3edf30ddc,Run 1/3,Q2,Aluno 2 (Intermediário),Intermediário,9b6aabce-8b4d-49f4-908a-b0777cacb7c8,9.88,9.8,9.88,False,0.2,mean_2,1
f38629ba-0463-4ace-9192-56b3edf30ddc,Run 1/3,Q2,Aluno 3 (Fraco),Fraca,1577ae18-04c1-415c-ba1f-c1deda50b60a,0.51,2.14,0.51,False,1.5,mean_2,1
f38629ba-0463-4ace-9192-56b3edf30ddc,Run 1/3,Q2,Aluno 4 (Fora do Tema),Fora tema,9e493d13-3a78-4d28-ab35-254bd144dd5d,0.0,0.0,0.0,False,0.0,mean_2,1
13060f67-8710-43d2-940f-121c2adb7af7,Run 2/3,Q2,Aluno 1 (Excelente),Excelente,d83c77f6-37a2-46c9-8723-ba76bb44b5ac,10.0,10.0,10.0,False,0.0,mean_2,2
13060f67-8710-43d2-940f-121c2adb7af7,Run 2/3,Q2,Aluno 2 (Intermediário),Intermediário,9b6aabce-8b4d-49f4-908a-b0777cacb7c8,9.04,9.49,9.04,False,1.1,mean_2,2
13060f67-8710-43d2-940f-121c2adb7af7,Run 2/3,Q2,Aluno 3 (Fraco),Fraca,1577ae18-04c1-415c-ba1f-c1deda50b60a,1.71,2.14,1.71,False,0.3,mean_2,2
13060f67-8710-43d2-940f-121c2adb7af7,Run 2/3,Q2,Aluno 4 (Fora do Tema),Fora tema,9e493d13-3a78-4d28-ab35-254bd144dd5d,0.0,0.0,0.0,False,0.0,mean_2,2
53b60eeb-af31-42f6-958d-ae4792677137,Run 3/3,Q2,Aluno 1 (Excelente),Excelente,d83c77f6-37a2-46c9-8723-ba76bb44b5ac,10.0,10.0,10.0,False,0.0,mean_2,3
53b60eeb-af31-42f6-958d-ae4792677137,Run 3/3,Q2,Aluno 2 (Intermediário),Intermediário,9b6aabce-8b4d-49f4-908a-b0777cacb7c8,9.08,9.16,9.08,False,0.2,mean_2,3
53b60eeb-af31-42f6-958d-ae4792677137,Run 3/3,Q2,Aluno 3 (Fraco),Fraca,1577ae18-04c1-415c-ba1f-c1deda50b60a,1.88,1.8,1.88,False,0.15,mean_2,3
53b60eeb-af31-42f6-958d-ae4792677137,Run 3/3,Q2,Aluno 4 (Fora do Tema),Fora tema,9e493d13-3a78-4d28-ab35-254bd144dd5d,0.0,0.0,0.0,False,0.0,mean_2,3
