exam_uuid,label,rag,question_id,question,question_uuid,student_name,profile,student_uuid,score,c1_score,c2_score,arbiter_score,divergence_detected,divergence_value,consensus_method,feedback
7b49f0e2-fcb1-43e4-8d20-7891e9e62071,Condição A (com RAG),True,Q1,Diferencie uma `Array` (vetor estático) de uma `Lista Encade,29f89cb3-3aba-4aeb-91f1-9698066d29e9,Aluno 2 (Intermediário),Intermediário,9b6aabce-8b4d-49f4-908a-b0777cacb7c8,8.65,7.59,8.65,,False,0.9,mean_2,
7b49f0e2-fcb1-43e4-8d20-7891e9e62071,Condição A (com RAG),True,Q1,Diferencie uma `Array` (vetor estático) de uma `Lista Encade,29f89cb3-3aba-4aeb-91f1-9698066d29e9,Aluno 3 (Fraco),Fraca,1577ae18-04c1-415c-ba1f-c1deda50b60a,0.0,0.92,0.0,,False,1.0,mean_2,
7b49f0e2-fcb1-43e4-8d20-7891e9e62071,Condição A (com RAG),True,Q1,Diferencie uma `Array` (vetor estático) de uma `Lista Encade,29f89cb3-3aba-4aeb-91f1-9698066d29e9,Aluno 4 (Fora do Tema),Fora tema,9e493d13-3a78-4d28-ab35-254bd144dd5d,0.0,0.0,0.0,,False,0.0,mean_2,
7b49f0e2-fcb1-43e4-8d20-7891e9e62071,Condição A (com RAG),True,Q1,Diferencie uma `Array` (vetor estático) de uma `Lista Encade,29f89cb3-3aba-4aeb-91f1-9698066d29e9,Aluno 1 (Excelente),Excelente,d83c77f6-37a2-46c9-8723-ba76bb44b5ac,10.0,10.0,10.0,,False,0.0,mean_2,
7b49f0e2-fcb1-43e4-8d20-7891e9e62071,Condição A (com RAG),True,Q2,Compare os algoritmos de ordenação `Merge Sort` e `Quick Sor,2ded6f4e-c9c5-49d5-8c91-2cb34427f947,Aluno 2 (Intermediário),Intermediário,9b6aabce-8b4d-49f4-908a-b0777cacb7c8,9.47,8.29,9.47,,False,0.9,mean_2,
7b49f0e2-fcb1-43e4-8d20-7891e9e62071,Condição A (com RAG),True,Q2,Compare os algoritmos de ordenação `Merge Sort` e `Quick Sor,2ded6f4e-c9c5-49d5-8c91-2cb34427f947,Aluno 3 (Fraco),Fraca,1577ae18-04c1-415c-ba1f-c1deda50b60a,2.55,1.89,2.55,,False,0.75,mean_2,
7b49f0e2-fcb1-43e4-8d20-7891e9e62071,Condição A (com RAG),True,Q2,Compare os algoritmos de ordenação `Merge Sort` e `Quick Sor,2ded6f4e-c9c5-49d5-8c91-2cb34427f947,Aluno 4 (Fora do Tema),Fora tema,9e493d13-3a78-4d28-ab35-254bd144dd5d,0.0,0.0,0.0,,False,0.0,mean_2,
7b49f0e2-fcb1-43e4-8d20-7891e9e62071,Condição A (com RAG),True,Q2,Compare os algoritmos de ordenação `Merge Sort` e `Quick Sor,2ded6f4e-c9c5-49d5-8c91-2cb34427f947,Aluno 1 (Excelente),Excelente,d83c77f6-37a2-46c9-8723-ba76bb44b5ac,10.0,10.0,10.0,,False,0.0,mean_2,
7b49f0e2-fcb1-43e4-8d20-7891e9e62071,Condição A (com RAG),True,Q3,Descreva as propriedades que definem uma `Árvore Binária de ,6bba5264-a2a9-4613-8828-3f96213bb389,Aluno 1 (Excelente),Excelente,d83c77f6-37a2-46c9-8723-ba76bb44b5ac,10.0,10.0,10.0,,False,0.0,mean_2,
7b49f0e2-fcb1-43e4-8d20-7891e9e62071,Condição A (com RAG),True,Q3,Descreva as propriedades que definem uma `Árvore Binária de ,6bba5264-a2a9-4613-8828-3f96213bb389,Aluno 2 (Intermediário),Intermediário,9b6aabce-8b4d-49f4-908a-b0777cacb7c8,9.8,10.0,9.8,,False,0.5,mean_2,
7b49f0e2-fcb1-43e4-8d20-7891e9e62071,Condição A (com RAG),True,Q3,Descreva as propriedades que definem uma `Árvore Binária de ,6bba5264-a2a9-4613-8828-3f96213bb389,Aluno 3 (Fraco),Fraca,1577ae18-04c1-415c-ba1f-c1deda50b60a,0.67,0.0,0.67,,False,0.6,mean_2,
7b49f0e2-fcb1-43e4-8d20-7891e9e62071,Condição A (com RAG),True,Q3,Descreva as propriedades que definem uma `Árvore Binária de ,6bba5264-a2a9-4613-8828-3f96213bb389,Aluno 4 (Fora do Tema),Fora tema,9e493d13-3a78-4d28-ab35-254bd144dd5d,0.0,0.0,0.0,,False,0.0,mean_2,
